id,CH4_x,CH4_y,CH3O2NO2_x,CH3O2NO2_y,H2_x,H2_y,N2O5_x,N2O5_y,H2O2_x,H2O2_y,CH3OH_x,CH3OH_y,HONO_x,HONO_y,CO_x,CO_y,HO2NO2_x,HO2NO2_y,CH3O_x,CH3O_y,CH3NO3_x,CH3NO3_y,HNO3_x,HNO3_y,CH3OOH_x,CH3OOH_y,HCHO_x,HCHO_y,CH3O2_x,CH3O2_y,NO3_x,NO3_y,OH_x,OH_y,NO2_x,NO2_y,NO_x,NO_y,O3_x,O3_y,HO2_x,HO2_y,
#0,0.3076878131972491,0.15424995808215905,0.6044689822017862,0,0,0.4803685016204772,1,0.9371311172236045,0.2232666448549879,0.37282308856570084,0.5158711675331802,0.5139668992173276,0.4609681990651202,0.5904498402833621,0.29312766548413755,0.7192497667501689,0.4243679771035385,0.014601047908736463,0.3675172907231333,0.7583906089603867,0.5557066327649095,0.3985767080620878,0.28601260676024004,0.6071512386494289,0.5459075997178076,0.6200426501385593,0.6363965133746999,0.5508700499115604,0.46301417021281327,0.4579833080476977,0.41156574890498576,1,0.6113607320505124,0.7097615759596763,0.6751453885281741,0.36952816714951625,0.28969559295017827,0.45097668144120556,0.17899460502077996,0.6498887822461765,0.38249385978235284,0.48795647854096674,
#1,0.381752014321968,0.09417936762739013,0.6666310439349263,0,0.08576120129719075,0.9086219309395427,0,0.5239712061006149,0.23318142239213724,0.7430094926704447,0.5352106329777897,0.5270763194592281,0.5194502901783673,0.6129774395263083,0.7317010469385791,0.8376244864713149,0.28732381393574846,0.20337744905280522,0.637657183318481,0.7404724060651807,0.6131878831778635,0.34834459869551204,1,0.8114251129914787,0.6295765569003128,0.5650422913498796,0.6973708957408534,0.4610631299548126,0.48573881810160613,0.42450007848515936,0.47657409615783713,1,0.7528513680228096,0.6159049719057158,0.8033260282571213,0.37977409573832877,0.3254952458323616,0.45989897332237245,0.9198702652185079,0.8617442168003225,0.417393960204858,0.6335540478909956,
#2,0,0.2974450077809671,0.41137379050236034,0,0.9410897938765145,0.7355783776905823,0.928861290599861,0.9820992348831048,0.7498563283223805,0.6017295151060281,0.4377137167607524,0.5472875719976377,0.370287663256432,0.3526030407384968,0.5892156542808303,0.8706815076615404,1,0.46431884906125087,0.21072752417037177,0.74114566362149,0.4421059465180675,0.4047681906700282,0.6666373620867578,0.780960577367244,0.4129799396511832,0.6007034315070305,0.3405659232688014,0.5291404524492814,0.30417957911204313,0.4124000256275023,0.34897294974414667,1,0.3540566962526171,0.6795194756184468,0.6106356943790658,0.37221193560232035,0.22798910007423787,0.4533137429647,0.7588786364006674,0.8672960820456245,0.5863084788536631,0.6504635087688856,
#3,0.9087560274139189,0.3223730142816246,0.6569999416364019,0,0.07057057384898932,0.2384786297967122,0,0.5504027863437779,0.20586988006628767,0.42699292099846264,0.5478560918976241,0.5378960245181529,0.608302416100435,0.5097172838348384,0.2899742455712124,0.7241078155763958,0.45467887107284244,0.03488201401021575,0.3688280159399048,0.7616508417798991,0.6539726333321558,0.4128919670152029,1,0.841207430903818,0.5734012958390708,0.6424007861415579,0.7061913846278871,0.5757461802666242,0.5199088761710949,0.4545186186091145,0.48862532119509106,1,0.6743247692435829,0.7152594341199507,0.8068070685030092,0.3681801413754499,0.3415090294290643,0.4498028025374731,0.1844638667630004,0.650473676105542,0.4169856292467925,0.49576683131001764,
#4,0.9805564754962238,0.5246399511239922,0.9907385263010241,0.01621554696456782,0.48538894216908146,1,0.9328284570488459,0.7778093303110133,0.5787554683925079,0.7602422826582634,0.5265103334933072,0.41798523813577015,0.23532581502783464,0,0.14108444473091108,0.5282667598819398,1,0.3236120421195854,0.2028248702818978,0.4614938682576684,0.38410271492536596,0.18905968232279916,0.01304044433759835,0.40962122629592673,0.4264811561276727,0.3872811334470767,0.4891153811227584,0.25850253063466344,0.6261981831673165,0.37573481060045094,0.22121351196560446,0.8144118522947142,0.3191772381272742,0.3083647186913302,0.5422136496471098,0.11235980678101148,0.07279409346770414,0.2030555255794324,0,0.32968865654266444,0.5188633785396383,0.5597564550673177,
#5,0.5012337319877149,0.7995294371409956,0.2606260570752392,0.35772640969456293,0.9928873320165994,0.8742666641377537,0,0.2620542684181223,0.87357256632962,0.5556762255360905,0.6208892767924209,0.41724615583625124,0.37081697655623225,0,0.6138525067357291,0.8533956583181819,1,0.05772261997781293,0.3634815999308886,0.5700370343141171,0.4750851704131813,0.13661377559089177,0.7045585264802314,0.7431168749165068,0.5356966437684316,0.47285470397319074,0.5264397951866228,0.27633460424215267,0.6651148277730337,0.35089872055312893,0.3566639977436651,1,0.4270098325231142,0.45666918013532504,0.60663048771283,0.0684269629793419,0.24108809377942753,0.1887737189580872,0.7526233582687939,0.9039173846354932,0.703276354254669,0.5471190828382791,
#6,0.5955399034113737,0.14107862712511632,0.8482109113828522,0.7092339453869789,0,0.3692942421002472,1,0.9463673250716577,0.23937560257799376,0.3212809464530403,0.5021188477397078,0.5101842885419969,0.4500687791847413,0.5784761163137252,0.266725451015543,0.7098905795840986,0.4081462175386855,0,0.32793390959080215,0.7552965217571191,0.5457801585209304,0.3923302128545469,0.26814953040873185,0.5953706946582351,0.521248332116352,0.626382856276203,0.6173542437499195,0.5558553507812767,0.4523244781131414,0.4606161097088788,0.40608178579411325,1,0.5919231626035983,0.7119261029810393,0.6720424143364834,0.36005129957430015,0.2831107424895765,0.44272409819388825,0.16048588206297962,0.6328615262868371,0.368724965469324,0.4743132668659956,
#7,0.24817077925377082,0.9468630322088706,0.8967616347953605,0.5541361665043661,0.8469377345752476,0.18419590553532078,0,0.15695805876206448,0.5983339858611901,0.883648034692803,0.47702485709116965,0.40543417037878815,0.3862733229639833,0.4169252963289374,0.2468718554842753,0.573179985067474,1,0.3577622346175596,0.1785289424851599,0.5905247254128508,0.4793166592212934,0.10881282539006949,0.6820406162674478,0.638194656793847,0.5186285912798635,0.25814674524591447,0.38161988505922817,0.24294048621694178,0.46588164998482473,0.5043515176141524,0.3739372955284219,1,0.4294244584970648,0.13493430582792026,0.6377245004338602,0,0.25197116852913326,0.1291866028708134,0.8187617824388792,0.5571156625472156,0.5561248544422396,0.5724159120605916,
#8,0.2678976439300594,0.83154464208959,0.8476598853250524,0.600638438392864,0,0,1,0.9237492841147391,0.24337523869727007,0.06794286203563239,0.45417354869461607,0.3835373112206115,0.4416275722254452,0.2897263293061968,0.2083214844984629,0.6010262552143771,0.6903423737570711,0.7550603174644955,0.1916109086475898,0.6824246999056804,0.49812752610264444,0.22396281877848617,0.20386261216175844,0.455822234020361,0.45782469523039954,0.5445137690987828,0.5662819997595685,0.44441189775906936,0.3841784901975627,0.376112191073871,0.3597828316744539,1,0.5508047789842724,0.6212790435280009,0.6427396962275768,0.1734836923295196,0.22895331365526805,0.280258526334797,0.09100134777921447,0.4877384865945981,0.3205327353125732,0.31657875488887355,
#9,0.5335601740316884,0.7249752813640792,0.932453290598259,0,0.7726410476339542,1,0,0.30550060584875793,0.7943292569641738,0.7401163447488931,0.6329422824885803,0.46160876838434517,0.3767251541115093,0.12541357049033144,0.6236870817562712,0.7846476457657817,1,0.2736369116148168,0.36306330902875666,0.5257613457425664,0.48517229312227605,0.24438809263330166,0.1945425611256904,0.4015417444990251,0.5493822222475988,0.4783443724257697,0.5565599290345339,0.33677813274198637,0.6866978598688698,0.39178227216164263,0.35655255643524925,0.8481429635721532,0.45060080464545915,0.4482859008470269,0.6060902359142837,0.1655931869772703,0.24117491968687846,0.25376947390579585,0.8753473398313931,0.5499914453071281,0.6809132160589222,0.5860699737386112,
#10,0.889739625064021,0.05675813398121549,0.07142337359346662,0.42191700191950476,1,0.8246543052534128,0.8898938913295007,1,0.438528404108892,0.855919015038595,0.5085608956514415,0.45431559981051206,0.19605611801114387,0,0.5278020927893212,0.8848609424665006,0,0.3763473749318838,0.16370153086712888,0.5710446717944777,0.33785315549172584,0.16084380029335402,0.6435197250543673,0.7394655561930719,0.3971431659902083,0.47252376132695467,0.41869335741560926,0.28669346346292607,0.5868835030608032,0.38037217295839654,0.1777419529284082,0.9859622922841775,0.2696546938350581,0.43941148689538023,0.5080792856556353,0.08482615256733388,0.02500533672119568,0.20124086918147155,0.8397391856449538,0.5796778214367733,0.565783602005035,0.6187708590104866,
#11,0.48578412702080453,0,1,0.6234214244024545,0,0.7886411467058709,0.0016833189643110996,0.4513310061393001,0.1438255312213294,0.5796416286203554,0.5015094060658436,0.4686312015305548,0.4783106907905325,0.5608239007675803,0.29741667768911584,0.7317355233131319,0.7669438999907903,0.8310407828522132,0.5074553359898326,0.7327072701860228,0.6041234001409443,0.3055019976601845,0.9411578613862684,0.8159432324246513,0.5751818707757267,0.5437723093952467,0.6672109253442837,0.45271939071895295,0.4853828441324289,0.36811544212273767,0.458888928369469,1,0.6638031054464226,0.6323601352972676,0.7683177236340254,0.3302732913289395,0.31581970045144825,0.4167930096740048,0.2881699971708923,0.27951985122850725,0.3524318407822091,0.52522039738951,
#12,0.6043552210563912,0.14155971826954242,0.5024234815658661,0,0,0.41204298888150426,1,0.9377403785504743,0.22891690890342167,0.3526109205091978,0.49394075660906495,0.5054490538030736,0.45051520110476334,0.5854891215125764,0.27869581613809963,0.7214973369861841,0.7270779250052595,0.8102303502360021,0.35913964593194875,0.754669857756424,0.5476489564663427,0.3940798632598662,0.2738944192630039,0.6078414291978447,0.5300490497826904,0.6069573119928231,0.6170963958286264,0.539616100669442,0.4457346102078224,0.438305975397629,0.41111198950701583,1,0.5953827287993975,0.6995225285039393,0.6728671959633067,0.37604877508266804,0.29008538867238676,0.45665491418682097,0.16768120825373184,0.6469370986496077,0.3690759663391624,0.4932335965194843,
#13,0.03243411846573882,0.5438529914741644,0.6131968999378603,0.7306296110343771,0.8607187094183003,0.3852641644513307,0,0.2788660771262451,0.5273135366498573,0.939255798351091,0.43554841193063176,0.4624019466709552,0.42659539641072847,0,0.7497212923279343,0.6709757775392423,1,0.5268906913251685,0.20228344136664977,0.6476767055298023,0.47315291323628367,0.1360423288678099,0.734396458749394,0.7703299338307013,0.47657649892893894,0.44729714729661,0.4407391436296352,0.30327186381715315,0.3274194811800079,0.28525868159102635,0.388759115459432,1,0.5665792384226273,0.3766581453227204,0.6614853055198985,0.13710759672095338,0.2626599093024421,0.24858173494360533,0.8796052096140444,0.72265557137256,0.5312040540156249,0.6665112866173114,
